country,cause,beta,gamma,eta,mu,xi,theta,q,Lambda_scaled,Lambda_per_100k_per_year,cause_name
Mauritania,Cocaine use disorders,1.0142452716827393,0.3743263781070709,0.3091625273227691,0.00797803,0.011905899,0.1102338731288909,1.6857006549835205,38.472381591796875,3847.238159179687,Cocaine
Mauritius,Cocaine use disorders,0.8146860003471375,0.4189692139625549,0.3220353722572326,0.007079618,0.028489398,0.1217147856950759,1.8111056089401243,14.114058494567873,1411.405849456787,Cocaine
Mexico,Cocaine use disorders,0.560281515,0.7114152908325195,0.1867536455392837,0.005930882,0.006049795,0.067789748,1.459069013595581,21.91629409790039,2191.629409790039,Cocaine
Micronesia_(Federated_States_of),Cocaine use disorders,0.9445309042930604,0.3986881375312805,0.3215253353118896,0.0071855,0.0175533,0.1242695152759552,1.7338476181030271,27.827617645263672,2782.761764526367,Cocaine
Monaco,Cocaine use disorders,0.5542330145835876,0.7195451855659485,0.1942976117134094,0.0144775,0.005486735,0.070592716,2.051386594772339,10.869706153869627,1086.970615386963,Cocaine
Mongolia,Cocaine use disorders,0.9657320976257324,0.399725467,0.3255752325057983,0.007216588,0.005648365,0.1183297336101532,1.7158687114715576,23.42582321166992,2342.582321166992,Cocaine
Montenegro,Cocaine use disorders,0.9673197865486144,0.392493188,0.3422628343105316,0.009608971,0.003941059,0.1236641481518745,1.7133593559265137,13.453059196472168,1345.3059196472168,Cocaine
Morocco,Cocaine use disorders,0.9939363,0.3940117061138153,0.3269433379173279,0.006311,0.008330373,0.1214613318443298,1.7033851146697998,22.121322631835938,2212.1322631835938,Cocaine
Mozambique,Cocaine use disorders,1.0089473724365234,0.3857056200504303,0.3039893805980682,0.013106971,0.015121424,0.1159126162528991,1.716274619102478,42.14400100708008,4214.400100708008,Cocaine
Myanmar,Cocaine use disorders,1.0108311176300049,0.3728395104408264,0.3403269350528717,0.0097845,0.016715653,0.1222650334239006,1.6875076293945312,21.248882293701172,2124.888229370117,Cocaine
Namibia,Cocaine use disorders,0.961573362,0.3972613215446472,0.3200174570083618,0.010234412,0.003762573,0.1172155886888504,1.727957248687744,31.49573516845703,3149.573516845703,Cocaine
Nauru,Cocaine use disorders,1.000000238418579,0.3678843080997467,0.2044920325279235,0.007908647,0.017939752,0.073823236,1.6931463479995728,30.719942092895508,3071.994209289551,Cocaine
Nepal,Cocaine use disorders,0.9989901781082152,0.3678802251815796,0.3401393890380859,0.008230941,0.017929345,0.1246097832918167,1.6963576078414917,27.179500579833984,2717.9500579833984,Cocaine
Netherlands,Cocaine use disorders,0.5570741891860962,0.7122675180435181,0.1909740269184112,0.008614706,0.004525641,0.068973154,1.4531337022781372,11.41555881500244,1141.555881500244,Cocaine
New_Zealand,Cocaine use disorders,0.5563790202140808,0.7194947004318237,0.1916197091341018,0.007098324,0.005283919,0.068989471,1.459330439567566,14.012852668762209,1401.2852668762207,Cocaine
Nicaragua,Cocaine use disorders,0.9552729725837708,0.4013040065765381,0.317331463,0.005713706,0.004339843,0.1170202940702438,1.725101351737976,26.145999908447266,2614.5999908447266,Cocaine
Niger,Cocaine use disorders,0.9994855523109436,0.367886335,0.3212965428829193,0.014739059,0.017936006,0.1158587634563446,1.694857120513916,49.80908966064453,4980.908966064453,Cocaine
Nigeria,Cocaine use disorders,0.9996361136436462,0.36788249,0.3368158638477325,0.015567823,0.01795633,0.1216046512126922,1.694363355636597,41.04158782958984,4104.158782958984,Cocaine
Niue,Cocaine use disorders,0.999731183,0.3678844571113586,0.3427803218364715,0.012968089,0.017928805,0.1255737543106079,1.6940456628799438,18.421293258666992,1842.1293258666992,Cocaine
